title,summary,url,image_url,pub_date,source,topics
Kilitch Drugs (India) consolidated net profit rises 189.69% in the March 2025 quarter,Sales rise 36.61% to Rs 61.23 crore Net profit of Kilitch Drugs (India) rose 189.69% to Rs 10.40 crore in the quarter ended March 2025 as against Rs 3.59 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/kilitch-drugs-india-consolidated-net-profit-rises-189-69-in-the-march-2025-quarter-125052000204_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
Repro India consolidated net profit declines 62.08% in the March 2025 quarter,Sales decline 3.22% to Rs 123.06 crore Net profit of Repro India declined 62.08% to Rs 1.13 crore in the quarter ended March 2025 as against Rs 2.98 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/repro-india-consolidated-net-profit-declines-62-08-in-the-march-2025-quarter-125052000192_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
CMS Info Systems consolidated net profit rises 6.72% in the March 2025 quarter,Sales decline 1.28% to Rs 619.07 crore Net profit of CMS Info Systems rose 6.72% to Rs 97.56 crore in the quarter ended March 2025 as against Rs 91.42 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/cms-info-systems-consolidated-net-profit-rises-6-72-in-the-march-2025-quarter-125052000207_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
New India Assurance Company consolidated net profit rises 15.33% in the March 2025 quarter,Sales rise 4.11% to Rs 9352.45 crore Net profit of New India Assurance Company rose 15.33% to Rs 358.54 crore in the quarter ended March 2025 as against Rs 310.88 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/new-india-assurance-company-consolidated-net-profit-rises-15-33-in-the-march-2025-quarter-125052000205_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
Everest Industries consolidated net profit rises 40.44% in the March 2025 quarter,Sales rise 4.75% to Rs 452.63 crore Net profit of Everest Industries rose 40.44% to Rs 7.64 crore in the quarter ended March 2025 as against Rs 5.44 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/everest-industries-consolidated-net-profit-rises-40-44-in-the-march-2025-quarter-125052000202_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
Marksans Pharma consolidated net profit rises 15.66% in the March 2025 quarter,Sales rise 26.51% to Rs 708.46 crore Net profit of Marksans Pharma rose 15.66% to Rs 90.55 crore in the quarter ended March 2025 as against Rs 78.29 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/marksans-pharma-consolidated-net-profit-rises-15-66-in-the-march-2025-quarter-125052000188_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
Sun Pharma Advanced Research Company reports consolidated net loss of Rs 59.77 crore in the March 2025 quarter,Sales rise 64.19% to Rs 27.19 crore Net Loss of Sun Pharma Advanced Research Company reported to Rs 59.77 crore in the quarter ended March 2025 as against net loss of Rs 105.79 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/sun-pharma-advanced-research-company-reports-consolidated-net-loss-of-rs-59-77-crore-in-the-march-2025-quarter-125052000194_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
DLF consolidated net profit rises 39.26% in the March 2025 quarter,Sales rise 46.50% to Rs 3127.58 crore Net profit of DLF rose 39.26% to Rs 1282.20 crore in the quarter ended March 2025 as against Rs 920.71 crore during the previous quarter ended March 2024. Sales rose 46.50% to Rs 3127.58 crore in the quarter ended March 2025 as against Rs 2134.84 crore during the previous quarter ended March 2024.,https://www.business-standard.com/markets/capital-market-news/dlf-consolidated-net-profit-rises-39-26-in-the-march-2025-quarter-125052000190_1.html,https://www.business-standard.com/assets/web-assets/images/Business_Standard_1_685x385.jpg,2025-05-20T07:46:00,Business Standard,['Financial Results']
"Q4 Results Live Updates: Power Grid, DLF react to earnings; Hindalco, Dixon Tech report today","Q4 Results Live Updates: Power Grid, DLF react to earnings; Hindalco, Dixon Tech report today By CNBCTV18.COM May 20, 2025 7:36 AM IST (Published) Q4 Results Live Updates: As many as 10 important names like Hindalco Industries, United Spirits, Dixon Technologies (India), JK Tyre, NHPC, Torrent Pharmaceuticals, Aster DM Healthcare, Max Healthcare, Whirlpool of India, Zydus Lifesciences will be reporting their earnings for the January to March period on Tuesday, May 20.",https://www.cnbctv18.com/market/q4-results-live-updates-hindalco-dixon-tech-nhpc-torrent-pharma-earnings-today-power-grid-dlf-share-price-reaction-liveblog-19606947.htm,https://images.cnbctv18.com/uploads/2024/09/stock-market-2024-09-12d5bc5df8c6a4eae60b6f529302cd6f.jpg,2025-05-20T07:36:43,CNBC TV18,['Financial Results']
"Q4 Results Live Updates: Power Grid, DLF react to earnings; Hindalco, Dixon Tech report today","Q4 Results Live Updates: Power Grid, DLF react to earnings; Hindalco, Dixon Tech report today By CNBCTV18.COM May 20, 2025 7:42 AM IST (Updated) Q4 Results Live Updates: As many as 10 important names like Hindalco Industries, United Spirits, Dixon Technologies (India), JK Tyre, NHPC, Torrent Pharmaceuticals, Aster DM Healthcare, Max Healthcare, Whirlpool of India, Zydus Lifesciences will be reporting their earnings for the January to March period on Tuesday, May 20.",https://www.cnbctv18.com/market/q4-results-live-updates-hindalco-dixon-tech-nhpc-torrent-pharma-earnings-today-power-grid-dlf-share-price-reaction-liveblog-19606947.htm/amp,https://images.cnbctv18.com/uploads/2024/09/stock-market-2024-09-12d5bc5df8c6a4eae60b6f529302cd6f.jpg,2025-05-20T07:36:43,CNBC TV18,['Financial Results']
